# Zeldovich correlation function.
# Using f=0.993 and P(k) from pklin_z502.txt
# Density functions smoothed with tophat R=0
# r[Mpc/h]     r^2.xiL       xir:1      xir:b1      xir:b2    xir:b1^2   xir:b1.b2    xir:b2^2    xir:Aeft     xir:n2L      xir:bs   xir:b1.bs   xir:b2.bs    xir:bs^2       xi0:1      xi0:b1      xi0:b2    xi0:b1^2   xi0:b1.b2    xi0:b2^2    xi0:Aeft     xi0:n2L      xi0:bs   xi0:b1.bs   xi0:b2.bs    xi0:bs^2       xi2:1      xi2:b1      xi2:b2    xi2:b1^2   xi2:b1.b2    xi2:b2^2    xi2:Aeft     xi2:n2L      xi2:bs   xi2:b1.bs   xi2:b2.bs    xi2:bs^2       xi4:1      xi4:b1      xi4:b2    xi4:b1^2   xi4:b1.b2    xi4:b2^2    xi4:Aeft     xi4:n2L      xi4:bs   xi4:b1.bs   xi4:b2.bs    xi4:bs^2
     14.50   1.7620091   1.7534497   3.5023797  -0.0073682   1.7476850  -0.0091853   0.0074504   0.0040517  -0.0083592  -0.0009296   0.0021024   0.0234439   0.0125235   3.2413818   4.6337190  -0.0128676   1.7362245  -0.0116477   0.0075161   0.0072553  -0.0083138  -0.0019480   0.0026556   0.0234020   0.0125220  -3.5193336  -2.5263742  -0.0433854  -0.0447470  -0.0437448   0.0004544   0.0502401  -0.0000154   0.0236192   0.0097969   0.0003398   0.0002419   0.3920291   0.0971549   0.0201245   0.0287300  -0.0009355   0.0000904  -0.0181125  -0.0000389  -0.0062942   0.0001545   0.0001547   0.0000903
     15.00   1.7673548   1.7592991   3.5139966  -0.0073376   1.7533405  -0.0095301   0.0070072   0.0039957  -0.0082764  -0.0007468   0.0022606   0.0230264   0.0122743   3.2533783   4.6504262  -0.0128393   1.7421078  -0.0121390   0.0070715   0.0071818  -0.0082372  -0.0016152   0.0028708   0.0229911   0.0122745  -3.6060309  -2.5822014  -0.0411910  -0.0412437  -0.0422498   0.0004288   0.0480508  -0.0000335   0.0232634   0.0095068   0.0003480   0.0002381   0.4004916   0.0938890   0.0197263   0.0281575  -0.0009424   0.0000838  -0.0173033  -0.0000396  -0.0061626   0.0001629   0.0001490   0.0000862
     15.50   1.7711551   1.7635730   3.5224980  -0.0072814   1.7574650  -0.0098104   0.0065931   0.0039507  -0.0081828  -0.0005762   0.0023989   0.0226067   0.0120311   3.2624345   4.6629926  -0.0127641   1.7464851  -0.0125436   0.0066558   0.0071060  -0.0081491  -0.0013035   0.0030598   0.0225775   0.0120328  -3.6904330  -2.6366853  -0.0390883  -0.0379209  -0.0408006   0.0004045   0.0459900  -0.0000486   0.0229022   0.0092201   0.0003544   0.0002341   0.4088742   0.0906748   0.0193357   0.0275931  -0.0009441   0.0000776  -0.0165481  -0.0000399  -0.0060362   0.0001697   0.0001434   0.0000822
     16.00   1.7735121   1.7663795   3.5280986  -0.0072037   1.7601614  -0.0100333   0.0062061   0.0039218  -0.0080805  -0.0004173   0.0025188   0.0221861   0.0117936   3.2687469   4.6716933  -0.0126487   1.7494549  -0.0128712   0.0062670   0.0070296  -0.0080517  -0.0010118   0.0032246   0.0221626   0.0117969  -3.7725735  -2.6898403  -0.0370750  -0.0347714  -0.0393967   0.0003814   0.0440444  -0.0000612   0.0225368   0.0089372   0.0003592   0.0002299   0.4171798   0.0875182   0.0189524   0.0270369  -0.0009414   0.0000720  -0.0158405  -0.0000399  -0.0059146   0.0001751   0.0001381   0.0000785
     16.50   1.7745157   1.7678277   3.5309966  -0.0071081   1.7615257  -0.0102053   0.0058441   0.0038874  -0.0079712  -0.0002695   0.0026218   0.0217659   0.0115620   3.2725015   4.6767845  -0.0124991   1.7511091  -0.0131299   0.0059032   0.0069467  -0.0079467  -0.0007392   0.0033672   0.0217477   0.0115665  -3.8524923  -2.7416797  -0.0351480  -0.0317881  -0.0380376   0.0003596   0.0422181  -0.0000718   0.0221682   0.0086589   0.0003626   0.0002256   0.4254150   0.0844224   0.0185761   0.0264886  -0.0009351   0.0000667  -0.0151883  -0.0000396  -0.0057973   0.0001791   0.0001329   0.0000750
     17.00   1.7742531   1.7680199   3.5313721  -0.0069977   1.7616474  -0.0103322   0.0055054   0.0038215  -0.0078563  -0.0001321   0.0027093   0.0213471   0.0113359   3.2738718   4.6785048  -0.0123206   1.7515340  -0.0133274   0.0055626   0.0068510  -0.0078357  -0.0004848   0.0034894   0.0213338   0.0113415  -3.9302290  -2.7922153  -0.0333046  -0.0289637  -0.0367229   0.0003389   0.0405157  -0.0000806   0.0217975   0.0083853   0.0003646   0.0002212   0.4335840   0.0813880   0.0182064   0.0259485  -0.0009256   0.0000619  -0.0145979  -0.0000392  -0.0056841   0.0001819   0.0001279   0.0000716
     17.50   1.7728235   1.7670383   3.5293922  -0.0068747   1.7606107  -0.0104190   0.0051884   0.0037285  -0.0077370  -0.0000047   0.0027828   0.0209307   0.0111153   3.2730159   4.6770768  -0.0121176   1.7508104  -0.0134705   0.0052436   0.0067452  -0.0077198  -0.0002476   0.0035930   0.0209219   0.0111220  -4.0058159  -2.8414593  -0.0315422  -0.0262916  -0.0354515   0.0003194   0.0389239  -0.0000878   0.0214257   0.0081166   0.0003655   0.0002168   0.4416834   0.0784148   0.0178435   0.0254166  -0.0009135   0.0000575  -0.0140589  -0.0000386  -0.0055748   0.0001838   0.0001231   0.0000685
     18.00   1.7703070   1.7649481   3.5252174  -0.0067409   1.7584947  -0.0104705   0.0048915   0.0036456  -0.0076144   0.0001135   0.0028439   0.0205174   0.0109001   3.2700785   4.6727106  -0.0118939   1.7490144  -0.0135652   0.0049448   0.0066407  -0.0076003  -0.0000268   0.0036797   0.0205128   0.0109076  -4.0792797  -2.8894280  -0.0298584  -0.0237655  -0.0342229   0.0003009   0.0374121  -0.0000937   0.0210535   0.0078529   0.0003653   0.0002122   0.4497045   0.0755051   0.0174874   0.0248934  -0.0008992   0.0000534  -0.0135470  -0.0000379  -0.0054689   0.0001849   0.0001184   0.0000655
     18.50   1.7667837   1.7618128   3.5190034  -0.0065977   1.7553733  -0.0104906   0.0046134   0.0036039  -0.0074892   0.0002229   0.0028935   0.0201079   0.0106900   3.2651965   4.6656048  -0.0116530   1.7462170  -0.0136170   0.0046647   0.0065476  -0.0074778   0.0001786   0.0037509   0.0201070   0.0106984  -4.1506520  -2.9361422  -0.0282505  -0.0213791  -0.0330359   0.0002835   0.0359552  -0.0000985   0.0206815   0.0075946   0.0003643   0.0002077   0.4576424   0.0726634   0.0171382   0.0243791  -0.0008831   0.0000496  -0.0130445  -0.0000372  -0.0053663   0.0001854   0.0001139   0.0000626
     19.00   1.7623248   1.7577106   3.5108978  -0.0064472   1.7513146  -0.0104830   0.0043527   0.0035962  -0.0073622   0.0003242   0.0029324   0.0197026   0.0104849   3.2585038   4.6559461  -0.0113982   1.7424846  -0.0136308   0.0044020   0.0064629  -0.0073533   0.0003694   0.0038078   0.0197052   0.0104940  -4.2199774  -2.9816238  -0.0267156  -0.0191256  -0.0318896   0.0002671   0.0345547  -0.0001024   0.0203106   0.0073420   0.0003625   0.0002033   0.4655028   0.0698940   0.0167955   0.0238735  -0.0008655   0.0000460  -0.0125571  -0.0000363  -0.0052668   0.0001851   0.0001096   0.0000599
